EP0 EpisodeReward=-591.9985502827957
EP1 EpisodeReward=-131.39452763019753
EP2 EpisodeReward=-309.90703616113
EP3 EpisodeReward=-222.95815227767775
EP4 EpisodeReward=-109.01333200244304
EP5 EpisodeReward=-256.56976648088016
EP6 EpisodeReward=-541.389047788271
EP7 EpisodeReward=-241.19585882989946
EP8 EpisodeReward=-134.60343445139148
EP9 EpisodeReward=-701.8576176493216
EP10 EpisodeReward=-148.20202152615806
EP11 EpisodeReward=-110.71222971247644
EP12 EpisodeReward=-146.9666502832602
EP13 EpisodeReward=-537.8400768042952
EP14 EpisodeReward=-121.07316534952858
EP15 EpisodeReward=-526.1529438704463
EP16 EpisodeReward=-75.38720945600737
EP17 EpisodeReward=-218.15793607412314
EP18 EpisodeReward=-111.59618996445667
EP19 EpisodeReward=-135.33678738972367
EP20 EpisodeReward=-175.66974677792476
EP21 EpisodeReward=-183.1193699142442
EP22 EpisodeReward=-183.39781211270804
EP23 EpisodeReward=-246.61560599190975
EP24 EpisodeReward=-275.0462239191932
EP25 EpisodeReward=-344.74937061845185
EP26 EpisodeReward=-303.91899189645363
EP27 EpisodeReward=-432.6192470106094
EP28 EpisodeReward=-891.9360794928008
EP29 EpisodeReward=-236.9259910620728
EP30 EpisodeReward=-265.95864052369245
EP31 EpisodeReward=-180.0226062605836
EP32 EpisodeReward=-51.52253087619151
EP33 EpisodeReward=-131.19662414556336
EP34 EpisodeReward=-126.36762488475658
EP35 EpisodeReward=-206.8717539523849
EP36 EpisodeReward=-157.7361754420864
EP37 EpisodeReward=-112.5931915965571
EP38 EpisodeReward=-271.0336075440804
EP39 EpisodeReward=-140.0893615525152
EP40 EpisodeReward=-127.75055456209849
EP41 EpisodeReward=-132.56147407180748
EP42 EpisodeReward=-127.06526648840217
EP43 EpisodeReward=-232.36773682862457
EP44 EpisodeReward=-117.70007728999931
EP45 EpisodeReward=-153.41331213434233
EP46 EpisodeReward=-141.3147466173704
EP47 EpisodeReward=-305.43687829048554
EP48 EpisodeReward=-159.68811143578444
EP49 EpisodeReward=205.26200013790663
EP50 EpisodeReward=-200.9558144373293
EP51 EpisodeReward=-165.72419069524153
EP52 EpisodeReward=-143.7337803981377
EP53 EpisodeReward=-59.99483746806179
EP54 EpisodeReward=-94.29529781387075
EP55 EpisodeReward=-208.71962896258145
EP56 EpisodeReward=-116.38918503586409
EP57 EpisodeReward=-176.97117133798568
EP58 EpisodeReward=-214.9003153042603
EP59 EpisodeReward=-59.153626826414595
EP60 EpisodeReward=-280.25527130131707
EP61 EpisodeReward=-131.00584525458078
EP62 EpisodeReward=-184.65217712692035
EP63 EpisodeReward=-149.24614114717602
EP64 EpisodeReward=-126.75568967182974
EP65 EpisodeReward=-233.96577116887426
EP66 EpisodeReward=-126.9950013883038
EP67 EpisodeReward=-106.937046617965
EP68 EpisodeReward=-17.285677351152913
EP69 EpisodeReward=8.150713966219271
EP70 EpisodeReward=-180.12359653288584
EP71 EpisodeReward=-185.49058771281216
EP72 EpisodeReward=-296.49055195314986
EP73 EpisodeReward=-62.79953657724823
EP74 EpisodeReward=-131.61994899971262
EP75 EpisodeReward=-98.10822005589817
EP76 EpisodeReward=-310.1367725267471
EP77 EpisodeReward=-228.396382574681
