EP0 EpisodeReward=-81.34537900034697
EP1 EpisodeReward=-151.79312672990773
EP2 EpisodeReward=-112.77462004489612
EP3 EpisodeReward=-145.18350204746622
EP4 EpisodeReward=-158.40544419640318
EP5 EpisodeReward=-212.87039325523585
EP6 EpisodeReward=-101.82654641162608
EP7 EpisodeReward=-124.80607631152483
EP8 EpisodeReward=-180.41261251831358
EP9 EpisodeReward=-114.86684821018224
EP10 EpisodeReward=-81.3541976858026
EP11 EpisodeReward=-160.33627542795395
EP12 EpisodeReward=-139.6844489180151
EP13 EpisodeReward=-78.47498538681393
EP14 EpisodeReward=-165.2068821375879
EP15 EpisodeReward=-102.98808171758041
EP16 EpisodeReward=-137.34133030244936
EP17 EpisodeReward=-130.9235773573377
EP18 EpisodeReward=-151.90277914373996
EP19 EpisodeReward=-12.477553641812122
EP20 EpisodeReward=-358.62521517088965
EP21 EpisodeReward=-100.64653841881989
EP22 EpisodeReward=-149.53061312777234
EP23 EpisodeReward=-158.18114211542238
EP24 EpisodeReward=-816.6488708296395
EP25 EpisodeReward=-599.3034331967515
EP26 EpisodeReward=-913.2739930524414
EP27 EpisodeReward=-1207.8198075024297
EP28 EpisodeReward=-622.2216456912764
EP29 EpisodeReward=-3635.051451918471
EP30 EpisodeReward=-464.20333182088456
EP31 EpisodeReward=-1032.7122051291321
EP32 EpisodeReward=-522.5941253844826
EP33 EpisodeReward=-752.4428999228951
EP34 EpisodeReward=-1933.7316799339524
EP35 EpisodeReward=-433.81043495934904
EP36 EpisodeReward=-366.986315535191
EP37 EpisodeReward=-583.2694865449491
EP38 EpisodeReward=-538.7132568093525
EP39 EpisodeReward=-618.9356490762406
EP40 EpisodeReward=-614.572305984449
EP41 EpisodeReward=-1997.6913293007453
EP42 EpisodeReward=-613.1150286156098
EP43 EpisodeReward=-1378.4514234191663
EP44 EpisodeReward=-1071.186952389781
EP45 EpisodeReward=-583.6237897929043
EP46 EpisodeReward=-1324.7066458485367
EP47 EpisodeReward=-588.3680952114901
EP48 EpisodeReward=-688.4636441467037
EP49 EpisodeReward=-554.3962700764953
EP50 EpisodeReward=-739.5105853777939
EP51 EpisodeReward=-621.188775527883
EP52 EpisodeReward=-584.3851454610208
EP53 EpisodeReward=-995.9259055351337
