EP0 EpisodeReward=-458.8014754011454
EP1 EpisodeReward=-480.9979808834659
EP2 EpisodeReward=-336.4303856117702
EP3 EpisodeReward=-147.2430753408711
EP4 EpisodeReward=-193.80628986503797
EP5 EpisodeReward=16.933221124475224
EP6 EpisodeReward=28.130227448691585
EP7 EpisodeReward=-425.38732315170233
EP8 EpisodeReward=-154.28352560032695
EP9 EpisodeReward=-96.33911533818866
EP10 EpisodeReward=-126.79573216374337
EP11 EpisodeReward=-35.76472146611661
EP12 EpisodeReward=-112.81777559737223
EP13 EpisodeReward=-146.8304739328733
EP14 EpisodeReward=4.912832183720383
EP15 EpisodeReward=-117.55522079172479
EP16 EpisodeReward=-737.7480540120483
EP17 EpisodeReward=-538.3544219512044
EP18 EpisodeReward=-714.2115427218599
EP19 EpisodeReward=-501.62307732946846
EP20 EpisodeReward=-470.5546028659748
EP21 EpisodeReward=-391.5558636971897
EP22 EpisodeReward=-164.81199015710288
EP23 EpisodeReward=-392.6464367893442
EP24 EpisodeReward=-351.2874549556664
EP25 EpisodeReward=-95.12616274095475
EP26 EpisodeReward=-613.8048292240851
EP27 EpisodeReward=-494.0959004003988
EP28 EpisodeReward=-97.39647329698309
EP29 EpisodeReward=-492.9273429884435
EP30 EpisodeReward=-66.88580247170553
EP31 EpisodeReward=-520.7083561071524
EP32 EpisodeReward=-514.1323235475272
EP33 EpisodeReward=-525.8198898160798
EP34 EpisodeReward=-970.3431809023679
EP35 EpisodeReward=-195.94197879038666
EP36 EpisodeReward=-426.7672632047671
EP37 EpisodeReward=-545.5292519540947
EP38 EpisodeReward=-380.5502846214333
EP39 EpisodeReward=-502.72458575311947
EP40 EpisodeReward=-537.6568424607244
EP41 EpisodeReward=-645.3487255606435
EP42 EpisodeReward=-348.8300830980021
EP43 EpisodeReward=-537.0654812364489
EP44 EpisodeReward=-121.8785513276284
EP45 EpisodeReward=-149.6790939441392
EP46 EpisodeReward=18.72250082388757
EP47 EpisodeReward=-173.27314334880276
EP48 EpisodeReward=-171.68098418929742
EP49 EpisodeReward=-360.79788013080577
EP50 EpisodeReward=-205.47029088861945
EP51 EpisodeReward=-367.4044801331174
EP52 EpisodeReward=-1632.9160852090774
EP53 EpisodeReward=-483.76297793290826
EP54 EpisodeReward=-747.3628516498873
EP55 EpisodeReward=-914.9511905247155
EP56 EpisodeReward=-481.62621480749783
EP57 EpisodeReward=-810.5868053835237
EP58 EpisodeReward=-145.51377508277102
EP59 EpisodeReward=-139.2293225779001
EP60 EpisodeReward=-124.0047470789242
EP61 EpisodeReward=-168.9033630382129
